id;name;url_name;desktop_image_url;tablet_image_url;mobile_image_url;title;description;tnc;tnc_link;landing_url;position;is_enabled;start_date;end_date;created_by;created_date;last_modified_by;last_modified_date
1;seize Grocery;transmitting leverage Bacon;Grocery hack;Texas Pataca evolve;Home;Soft;process;GB Pennsylvania Steel;Sausages HDD web-enabled;Oregon Response;66693;true;2022-07-20;2022-07-20;Refined deposit;2022-07-20T21:53:09;Chief Fundamental Cambridgeshire;2022-07-21T04:34:38
2;deploy Metal;Toys Shoes;Gourde application;BEAC;Tasty;synthesizing Group target;Account Sleek;proactive;bluetooth Ergonomic New;intranet Plastic;15590;true;2022-07-20;2022-07-21;Account Texas;2022-07-20T19:36:59;tan alarm Canada;2022-07-20T19:53:24
3;supply-chains Sausages B2B;Romania Metal;cutting-edge Kids Bedfordshire;Strategist Administrator Rustic;Director sensor;Horizontal Steel Car;Account Garden multi-byte;application;Account SMS;back-end redundant;96737;false;2022-07-20;2022-07-20;copying;2022-07-20T12:57:36;Indiana Rupee Investment;2022-07-20T23:14:31
4;Intelligent Mouse Identity;Principal programming;Island Handmade Michigan;revolutionary Tactics;Principal;Computers overriding disintermediate;infomediaries;Industrial Managed foreground;Future;scalable;11189;false;2022-07-20;2022-07-21;generating Alaska copying;2022-07-20T18:32:58;driver;2022-07-21T04:11:27
5;payment hard Sports;Plaza AGP;teal brand;Identity Morocco orange;solid concept;Card;quantifying;withdrawal Corporate;Functionality;open-source;74931;false;2022-07-20;2022-07-20;Markets Forks;2022-07-20T20:48:31;Customer Generic;2022-07-20T14:14:47
6;yellow Configurable programming;infrastructure;Facilitator neutral;Implementation the;intermediate;index;virtual Rustic embrace;Zealand hack object-oriented;Bulgarian;Indiana withdrawal;87713;true;2022-07-20;2022-07-20;Center Buckinghamshire;2022-07-21T05:10:41;optimizing Junction copy;2022-07-20T22:00:32
7;Switzerland Pine program;Sausages Specialist Checking;array Avon;connect Plastic;service-desk info-mediaries;program Berkshire Planner;Account Games matrix;New;Direct;Corner Utah Savings;70990;true;2022-07-20;2022-07-20;Beauty iterate optical;2022-07-20T15:21:33;deliver array Concrete;2022-07-21T07:37:35
8;Corner;invoice violet transmitter;Handcrafted;responsive sticky;impactful;innovate index;FTP Swiss;Toys International;solution infomediaries;Idaho Congo;1375;true;2022-07-20;2022-07-20;Shoes Direct generation;2022-07-20T18:00:25;interactive;2022-07-20T23:50:31
9;Handmade synergistic;Wooden District;schemas Computer cross-platform;Rustic COM Implementation;Stravenue Rubber;mobile azure Fields;e-tailers Exclusive target;Bahraini;Spurs;invoice National;54599;false;2022-07-20;2022-07-20;Louisiana regional;2022-07-20T12:53:24;Factors multi-tasking full-range;2022-07-20T12:08:29
10;Hat alliance;Shilling fault-tolerant Cheese;Factors;Clothing Landing;Cotton Self-enabling;Outdoors;Sleek Mobility Phased;national;HTTP repurpose Computers;bandwidth port;71889;true;2022-07-20;2022-07-20;models;2022-07-21T05:10:01;superstructure Soft system;2022-07-20T13:27:27
